Codigo_municipio;Municipios;Calidad_vida_media
46001;Ademuz;0.5758872242744002
46002;Ador;0.6742105994867315
46003;Atzeneta;0.5784616364033883
46004;Agullent;0.5934530842870244
46005;Alaquàs;0.5761145715360012
46006;Albaida;0.5811069393062017
46007;Albal;0.6032876892577375
46008;Albalat;0.6157908466157145
46009;Albalat;0.7246953749787703
46010;Albalat;0.7148880335835571
46011;Alberic;0.5951471595793038
46012;Alborache;0.6994398720623912
46013;Alboraia/Alboraya;0.7558503937723401
46014;Albuixech;0.6867364060171356
46015;Alcàsser;0.6480194485463662
46016;Alcàntera;0.6562489194883243
46017;Alzira;0.6090547149584833
46018;Alcublas;0.6913766151763372
46019;Alcúdia,;0.6518209088307981
46020;Alcúdia;0.5950310491101053
46021;Aldaia;0.5858483515254395
46022;Alfafar;0.5635720444677211
46023;Alfauir;0.714324213165313
46024;Alfara;0.6666766382060313
46025;Alfara;0.6994416516704263
46026;Alfarb;0.6684799436350388
46027;Alfarrasí;0.6485369447706599
46028;Algar;0.6768463496315651
46029;Algemesí;0.609713750585587
46030;Algímia;0.6961024301307926
46031;Alginet;0.6489323379428651
46032;Almàssera;0.6678867039761194
46033;Almiserà;0.6665305531231693
46034;Almoines;0.6560077647956539
46035;Almussafes;0.6815935815013794
46036;Alpuente;0.6923115488789635
46037;Alqueria;0.6564993275136561
46038;Andilla;0.6724218573349412
46039;Anna;0.6495207730522818
46040;Antella;0.7047107168128229
46041;Aras;0.7053158335731279
46042;Aielo;0.6202526262616899
46043;Aielo;0.9166334101140101
46044;Ayora;0.6224452016310407
46045;Barxeta;0.7087351002215949
46046;Barx;0.6903578724338348
46047;Bèlgida;0.5553040804473566
46048;Bellreguard;0.6844193887095925
46049;Bellús;0.581439819584399
46050;Benagéber;0.8656945576749115
46051;Benaguasil;0.5917493397307126
46052;Benavites;0.7286863387434604
46053;Beneixida;0.7551619873828493
46054;Benetússer;0.6038560235370922
46055;Beniarjó;0.6527689360932335
46056;Beniatjar;0.655723297760169
46057;Benicolet;0.7182892445527015
46058;Benifairó;0.6708136870669569
46059;Benifairó;0.718744216981443
46060;Benifaió;0.6236979380414592
46061;Beniflá;0.6661949191532398
46062;Benigànim;0.6226186442748654
46063;Benimodo;0.6774022070356639
